u_id,parent_compositeterm,parent_public_id,child_compositeterm,child_public_id
"5881","len test",12791,"explor",638
"5902","travel",12292,"seattl",980
"5913","balanc",12158,"fruit stack",626
"6185","portug",12444,"seixal",1382
"6296","lieux",12084,"strasbourg",234
"7080","pet",11662,"kayle",18
"7080","trip",11663,"kayle",18
"7080","zoo",12910,"kayle",18
"7112","winter",11891,"spring",6
"7116","anim",13063,"bird",3
"789","awai",11412,"stanford",1751
"789","home",11413,"our wed",132
"1248","other thing",14239,"other",255
"127","natur",14240,"flora",1756
"1311","vacanc",13841,"serr chevali",225
"1987","america",13716,"new york new york",376
"1987","america",13716,"washington dc",281
"2117","close to home",14610,"denver botan garden",1229
"2117","trip",14611,"san francisco",1492
"2131","inanim stuff",13108,"food",265
"2154","kitti",14742,"tessa",1069
"2154","wellington",14743,"island",1030
"2154","wellington",14743,"botan garden",129
"2290","arizona",13234,"sedona",433
"2290","experi",13159,"water experi",171
"313","event",14451,"live music",1403
"338","mountain",13469,"mtfuji",839
"3655","artist",14214,"photoshop",1160
"4771","viaj",13374,"lanzarot",17
"5246","famili_friend",13527,"photoshop",967
"5357","locat",14358,"kaohsiung",581
"5357","locat",14358,"tainan",81
"5357","locat",14358,"pingtung",77
"5520","animal",14352,"mariposa",1585
"5737","california",14855,"yosemit nate park",1353
"6044","scotland",13547,"cairngorm natur",558
"6365","flower_tree",13832,"flower",780
"6564","germani",13282,"christma",275
"884","vacat",13854,"bahama",1404
"94","flora_fauna",14922,"insect",1408
"94","flora_fauna",14922,"squirrel",1407
"94","flora_fauna",14922,"sealif",1406
"94","flora_fauna",14922,"bird",1396
"1169","britain",15042,"liverpool",690
"1520","vacat",16269,"cape cod",133
"1800","group",16409,"david",1726
"218","travel",16382,"chicago",1265
"2234","place",15750,"turkei",852
"2663","other pictur",16087,"natur",1119
"2723","citi",15168,"rotterdam",541
"2723","citi",15168,"lisboa",28
"3648","good stuff",15457,"santa cruz",1455
"3648","good stuff",15457,"fave",239
"3902","flora_fauna",15428,"dragonfli",614
"4100","alberta",15733,"calgari",836
"4100","alberta",15733,"banff nate park",795
"4100","bc",15734,"mount robson provinci park",794
"4100","live thing",15679,"greeneri",830
"4100","live thing",15679,"creepi crawli",531
"433","best",15224,"view",1683
"4578","travel",15160,"nha trang",1772
"4613","natur",15093,"on black",1688
"5086","flickr",15233,"tonemap",680
"5436","ttv",15887,"camera",883
"5536","natur",15725,"antiqu",820
"5536","peopl",15781,"antiqu",820
"5536","travel",15782,"antiqu",820
"5696","kid",14992,"mykid",743
"5696","locat",14989,"mykid",743
"5696","natur photo",15082,"mykid",743
"5777","friend",15047,"mediterranean fantasi festiv",705
"5777","seattl",15100,"mediterranean fantasi festiv",705
"5918","peopl",16649,"portrait",668
"6804","anim",15212,"dog",163
"6804","natur",15219,"dog",163
"6804","peopl",15254,"dog",163
"6971","film camera",16397,"olympu",1518
"936","famili_friend",15450,"famili",440
"936","kitchen sink",15445,"funni",1152
"1316","other",17364,"random set",80
"2131","peopl",17071,"friend",655
"2131","travel",17073,"california",381
"237","india",18443,"jaipur",1731
"237","india",18443,"agra",1729
"237","tanzania",17607,"zanzibar",1651
"2468","loir atlantiqu",18146,"pornic",62
"2468","loir atlantiqu",18146,"la brièr",61
"3062","set",17857,"sign",848
"3195","music",17476,"great escap",1778
"4615","mexico",17833,"mexico gent",1225
"5140","memori",17528,"plant",1012
"5436","fave",17869,"camera",883
"5737","u trip",16923,"yosemit nate park",1353
"5806","fauna",17315,"insect",1454
"5881","architectur",18139,"explor",638
"5951","travel abroad",18673,"mauritiu",58
"5981","misc",17117,"random stuff",1087
"5981","place",17098,"brighton",1625
"6179","wildlif",18631,"macro",41
"6564","flower",18077,"christma",275
"6564","sweden",18605,"christma",275
"6578","anim",17059,"martin",266
"6578","archiv",17057,"martin",266
"6578","miscellan",17085,"martin",266
"6578","natur",17084,"martin",266
"6578","peopl",17058,"martin",266
"6612","itali",18104,"elba",429
"6646","food photographi",18098,"miscellan",242
"7017","place",17047,"bretagn",53
"7017","wildlif",17048,"bretagn",53
"862","black_white",16962,"space",692
"862","project",17182,"space",692
"100","diver",19980,"hdr",627
"1283","portrait",18847,"father",1871
"1425","place",20528,"stockholm",1725
"1589","travel",20432,"san diego",741
"1937","wildlif",18873,"buggin",546
"2048","natur",19312,"sunrisesunset",1451
"2574","face",18885,"bug",995
"2982","parti",20000,"goodby",199
"3648","model",20002,"santa cruz",1455
"4744","place",20309,"toronto",1721
"4744","place",20309,"colorado",1711
"4862","etc",19526,"moon",1243
"4970","histori",20238,"ireland",1089
"523","travel",20302,"capo verd",1687
"5357","portrait",19569,"mina",1513
"5357","portrait",19569,"peopl",85
"5414","beij",19927,"beij septemb",899
"5436","black_white",20186,"camera",883
"5436","blue",20187,"camera",883
"5436","bug",20185,"camera",883
"5436","orang",20162,"camera",883
"5436","red",20161,"camera",883
"5683","québec",19769,"fall",749
"5683","toronto",19756,"fall",749
"6177","europ",19987,"pragu",1124
"6177","europ",19987,"london",1123
"6177","europ",19987,"norwai",714
"6177","europ",19987,"england",677
"6177","europ",19987,"edinburgh",110
"6177","famili",19998,"pic",679
"6177","famili",19998,"pic",678
"6338","natura",20127,"mendi irteerak",392
"6578","place",20247,"texa vacat",1514
"6578","place",20247,"martin",266
"2595","randomos",21613,"debaucheri",1793
"2746","usa",20793,"mojav desert",128
"2746","usa",20793,"san francisco",127
"2746","usa",20793,"boston",126
"3082","canada",21305,"canadian rocki",482
"3204","travel",21001,"bangkok",125
"4004","natur",21780,"flower",699
"457","stuff",20991,"wed",1002
"4744","season",20807,"summer",1708
"494","north africa",21289,"morocco",1703
"5025","natur",21284,"pet",1067
"5140","home town",20763,"plant",1012
"5140","world",20749,"plant",1012
"5433","flora_fauna",21231,"antipasta",887
"5777","most popular",20906,"mediterranean fantasi festiv",705
"6037","travel",22170,"triest",1233
"6141","misc",20932,"wale mai",1447
"6881","flower",22296,"wall garden",122
"6881","garden",20764,"wall garden",122
"7121","natur",21142,"famili",2
"1385","critter",23041,"loki",54
"3006","natureza",22663,"flore",462
"3006","natureza",22663,"bug",461
"3075","histor place",24238,"languedoc",639
"312","life",23940,"xiamen",1825
"3891","other",23078,"sceneri",501
"3891","other",23078,"just",499
"3927","travel",22504,"franc",1192
"3927","travel",22504,"unit kingdom",76
"4004","japan",22971,"tsukiji fish market",701
"4004","southeast asia",22882,"thailand",481
"4699","creat",23502,"australia",1270
"494","europ",23313,"malaga",1497
"494","europ",23313,"cordoba",1449
"5070","car show",24060,"deva dub and rod",1050
"5250","outdoor",24199,"kayak",965
"6539","art",23312,"bird",288
"6539","garden",23435,"bird",288
"6539","natur",23431,"bird",288
"6539","thing",23053,"bird",288
"6646","cook",24255,"miscellan",242
"6646","out_about",24253,"miscellan",242
"782","netherland",23451,"terschel",1354
"100","natur",24635,"hdr",627
"1541","urban decai",24991,"heppenstal",385
"2170","utata iron photograph",24509,"iron photograph",1277
"2471","place",25178,"ireland",1533
"2574","friend",25772,"memori dai weekend",1421
"4238","place",24920,"istanbul",5
"4240","travel",24958,"south east asia",689
"4347","uk",25550,"norwich",1008
"5306","japan",25803,"tokyo",944
"5430","event",25156,"star war exhibit",1314
"5871","cape town",24508,"banshe",650
"5871","pet",24506,"banshe",650
"6134","random stuff",24771,"mood",1359
"6134","random stuff",24771,"tape n tape",1357
"6134","random stuff",24771,"mood",1332
"6180","other place",25532,"crystal palac",1405
"6180","other place",25532,"croydon",1356
"6486","natur",25777,"explor",312
"6486","travel",25729,"explor",312
"6487","gardase",24657,"vögel",311
"6487","wilhelma",24717,"vögel",311
"6610","holidai",24653,"cottag",831
"6638","abroad",24457,"lisbonn août",248
"6638","miscellan",26184,"lisbonn août",248
"6770","natur",26200,"vancouv aquarium",187
"100","moto",26922,"kawasaki",1452
"100","moto",26922,"hdr",627
"2328","flower",26647,"iris",1319
"308","natur photographi",26794,"backyard flower",1693
"308","richmond hill",26791,"backyard flower",1693
"3309","texa",26750,"galveston",1328
"4606","concert",26699,"bear",1456
"4606","manchest",26685,"eurocultur",1401
"4700","famili",26648,"mother dai",1379
"4901","travel",27513,"la vega",448
"5042","soni dsc",27078,"favorit",1057
"5270","european tour",27500,"czech republicpart",1189
"5270","european tour",27500,"czech republicpart",1182
"5270","european tour",27500,"rome",624
"5874","flower",27309,"flora",648
"6361","color",26603,"orang",379
"6361","netherland",26558,"orang",379
"6564","variou",27631,"christma",275
"6616","macro_close_up",27904,"most interest accord to flickr",250
"6616","peopl",27977,"most interest accord to flickr",250
"6638","black_white",26302,"lisbonn août",248
"6638","door_window",26301,"lisbonn août",248
"6638","franc",26360,"lisbonn août",248
"6638","macro",26362,"lisbonn août",248
"6948","color",26816,"blue",74
"7090","canada",26564,"richmond",331
"1084","travel",28111,"arizona",1327
"1208","noun",28560,"peopl",515
"1208","noun",28560,"place",513
"167","insect",28831,"diptera",1557
"167","insect",28831,"trichoptera",1523
"1759","theme",29339,"poetri",732
"2131","natur",28890,"chicago botan garden",1730
"2721","event",28565,"reunion",923
"2721","theme",28566,"summer fun",1026
"3377","all set",28552,"bug",814
"3377","all set",28552,"flower",644
"4192","pet",28326,"dog",1517
"4422","zee",28494,"blankenberg",1031
"447","anim",28288,"sf zoo",425
"4720","anim",29596,"buttercup",1250
"5040","most view",29454,"fountain",1059
"6122","countri",29793,"spain",208
"6122","countri",29793,"sweden",205
"6122","countri",29793,"franc",204
"6122","natur",29830,"lifeless",273
"6122","natur",29830,"anim",272
"6197","fauna",29426,"spain",459
"6197","other travel",28443,"spain",459
"6197","sport",28585,"spain",459
"6218","misc set",29655,"mobil",752
"6218","misc set",29655,"person favorit",750
"6218","misc set",29655,"urban decai",84
"6329","all",29153,"your favorit",397
"6770","work",28840,"vancouv aquarium",187
"6842","natur",29386,"flower",143
"6842","sweden",29568,"flower",143
"6842","unit kingdom",29621,"flower",143
"1783","trip",30317,"toronto",1044
"1783","trip",30317,"niagara fall",339
"2094","photographi",30623,"landscap",694
"2209","texa",31317,"houston",203
"2743","natur thing",30833,"red",1197
"3183","stuff",30895,"squaredcircl",30
"3893","natur",30713,"butterfli",1101
"4527","out_about",31337,"mai",1820
"4694","event",30768,"dragon",1789
"5033","le sud",30735,"perigord",1141
"5098","place",31205,"fletcher wildlif garden",1502
"5777","critter",31682,"mediterranean fantasi festiv",705
"5777","event",31695,"mediterranean fantasi festiv",705
"5777","place",30845,"mediterranean fantasi festiv",705
"5777","ride",31398,"mediterranean fantasi festiv",705
"6086","door_window",30284,"europa",533
"6279","cat",29961,"saltair",418
"6279","dai",30090,"saltair",418
"6279","holidai",29997,"saltair",418
"6279","where i live",29978,"saltair",418
"6279","wildlif",29955,"saltair",418
"6648","journei",29969,"christian",241
"6648","peopl",29967,"christian",241
"6913","project",31178,"peopl",1291
